details_competition_type;date;start_altitude;finish_altitude;lenght;vertical_drop;coursesetter;coursesetter_nat;number_of_gates;start_time;total_rank;bib;name;country;total_time;season;birthdate;age;gender;skis;boots;poles;run;rank;run_time;location;location_country;wpc;wpc_fake;total_wcp_nat_last
Slalom;2022-03-12;597;396;;201;Kueng Mirena;SUI;68.0;13:45;7.0;23.0;BUCIK Ana;SLO;1:46.90;2021_2022;1993-07-21;29.0;Female;Salomon;Salomon;Leki;2;19.0;55.55;ARE;SWE;36.0;12.0;943.0
Giant Slalom;2023-01-25;1148;758;;390;Girardi Valter;ITA;49.0;17:45;;44.0;SOLHEIM Fabian Wilkens;NOR;;2022_2023;1996-04-10;26.0;Male;Head;Head;;1;38.0;1:12.67;SCHLADMING;AUT;;;4228.0
Slalom;2023-01-04;942;735;;207;Meynet Thierry;SUI;67.0;18:45;;;JASICZEK Michal;POL;;2022_2023;1994-03-13;28.0;Male;Voelkl;Dalbello;;2;28.0;;GARMISCH-PARTENKIRCHEN;GER;;3.0;0.0
Slalom;2023-02-26;2113;1907;;206;Borisov Ivan;BUL;67.0;13:15;26.0;15.0;GROSS Stefano;ITA;1:49.36;2022_2023;1986-09-04;36.0;Male;Voelkl;Tecnica;;2;25.0;56.08;PALISADES TAHOE;USA;5.0;6.0;2600.0
Giant Slalom;2023-03-10;736;396;;340;Pichler Charly;AUT;43.0;10:00;14.0;3.0;MOWINCKEL Ragnhild;NOR;1:57.04;2022_2023;1992-09-12;30.0;Female;Head;Head;;1;17.0;57.19;ARE;SWE;18.0;14.0;1846.0
Slalom;2020-12-22;1733;1550;;183;Dogadkin Andrey;RUS;63.0;17:45;15.0;18.0;MOELGG Manfred;ITA;1:36.16;2020_2021;1982-06-03;40.0;Male;Fischer;Fischer;Leki;1;13.0;48.68;MADONNA DI CAMPIGLIO;ITA;16.0;20.0;2205.0
Giant Slalom;2020-10-17;3040;2670;;370;Gfeller Tim;NOR;47.0;10:00;;42.0;MOERZINGER Elisa;AUT;;2020_2021;1997-05-06;25.0;Female;Rossignol;Rossignol;;1;34.0;1:14.27;SOELDEN;AUT;;;3815.0
Giant Slalom;2022-10-23;3040;2670;;370;Mitter Christian;NOR;46.0;10:00;;23.0;VERDU Joan;AND;;2022_2023;1995-05-23;27.0;Male;Head;Head;;1;19.0;1:01.94;SOELDEN;AUT;;12.0;14.0
Slalom;2021-12-12;2043;1845;;198;Meynet Thierry;SUI;58.0;13:00;;;SCHMID Alexander;GER;;2021_2022;1994-06-09;28.0;Male;Head;Head;Leki;2;45.0;;VAL D'ISERE;FRA;;;1867.0
Slalom;2021-01-31;1165;985;;180;Vuignier Julien;SUI;60.0;12:30;;;JORDAN Asher;CAN;;2020_2021;1999-11-23;23.0;Male;Atomic;Atomic;;2;56.0;;CHAMONIX;FRA;;;396.0
Slalom;2023-01-08;1513;1302;;211;Enocson Calle;SWE;68.0;10:30;;57.0;LUETOLF Joel;SUI;;2022_2023;;;;;;;1;63.0;;ADELBODEN;SUI;;;0.0
Giant Slalom;2022-11-26;1066;782;;284;Simoncelli Daniele;ITA;35.0;10:00;;54.0;HILZINGER Jessica;GER;;2022_2023;1997-05-26;25.0;Female;Head;Head;;1;43.0;55.80;KILLINGTON;USA;;;1071.0
Slalom;2021-01-12;1160;960;;200;Thoma Christian;SWE;69.0;20:45;26.0;13.0;ANDO Asa;JPN;1:51.99;2020_2021;1996-04-24;26.0;Female;Atomic;Atomic;;2;25.0;55.62;FLACHAU;AUT;5.0;6.0;37.0
Slalom;2020-12-29;1230;1020;;210;PoljŠak Sergej;SLO;64.0;15:15;;45.0;SAEFVENBERG Charlotta;SWE;;2020_2021;1994-10-07;28.0;Female;Rossignol;Rossignol;Leki;1;53.0;56.65;SEMMERING;AUT;;;921.0
Slalom;2021-03-12;597;396;;201;Lackie Jeff;USA;68.0;16:30;;;PETERLINI Martina;ITA;;2020_2021;;;;;;;2;48.0;;ARE;SWE;;;0.0
Giant Slalom;2022-01-08;1230;849;;381;Alejo Hervas Jose Luis;SUI;45.0;12:30;;;KNIFIC Lina;SLO;;2021_2022;;;;;;;2;57.0;;KRANJSKA GORA;SLO;;;0.0
Slalom;2022-11-19;438;258;;180;Pini Mauro;SVK;68.0;14:00;19.0;8.0;HUBER Katharina;AUT;1:54.34;2022_2023;1995-10-03;27.0;Female;Fischer;Fischer;;2;21.0;57.96;LEVI;FIN;12.0;10.0;4985.0
Slalom;2021-01-06;988;768;;220;Kroisleitner Martin;AUT;75.0;15:30;;;GINNIS AJ;GRE;;2020_2021;1994-11-17;28.0;Male;Fischer;Fischer;;2;46.0;;ZAGREB;CRO;;;0.0
Slalom;2022-01-22;1004;811;;193;Theolier Jacques;ITA;65.0;13:45;3.0;7.0;KRISTOFFERSEN Henrik;NOR;1:41.91;2021_2022;1994-07-02;28.0;Male;Van Deer;;;2;1.0;49.64;KITZBUEHEL;AUT;60.0;100.0;3068.0
Slalom;2021-01-31;1165;985;;180;Glasse-davies Tristan;GBR;63.0;09:30;;41.0;STROLZ Johannes;AUT;;2020_2021;1992-09-12;30.0;Male;Head;Head;;1;34.0;52.69;CHAMONIX;FRA;;;3879.0
Giant Slalom;2022-12-18;1868;1420;;448;Brunner Bernd;GER;57.0;10:00;;68.0;KRYZL Krystof;CZE;;2022_2023;1986-10-12;36.0;Male;Atomic;Atomic;Leki;1;61.0;;ALTA BADIA;ITA;;;0.0
Giant Slalom;2023-02-25;2304;1918;;386;Roten Joerg;NOR;50.0;13:45;5.0;21.0;BRENNSTEINER Stefan;AUT;2:24.64;2022_2023;1991-10-03;31.0;Male;Fischer;Fischer;Leki;2;6.0;1:15.47;PALISADES TAHOE;USA;45.0;40.0;5682.0
Slalom;2023-01-04;950;768;;182;Mayrhofer Klaus;AUT;60.0;16:30;;;MOLTZAN Paula;USA;;2022_2023;1994-04-07;28.0;Female;Rossignol;Rossignol;;2;40.0;;ZAGREB;CRO;;;2268.0
Giant Slalom;2021-01-09;1730;1310;;420;Lorenzi Roberto;ITA;53.0;13:30;;;RAUCHFUSS Julian;GER;;2020_2021;1994-09-02;28.0;Male;Rossignol;Rossignol;;2;51.0;;ADELBODEN;SUI;;;1700.0
Super G;2022-03-17;1865;1290;1857.0;575;Ghidoni Alberto;ITA;36.0;11:30;3.0;2.0;CAVIEZEL Gino;SUI;1:10.18;2021_2022;1992-06-23;30.0;Male;Dynastar;Lange;Leki;1;3.0;1:10.18;COURCHEVEL/MERIBEL;FRA;60.0;60.0;5329.0
Slalom;2021-01-06;988;768;;220;Theolier Jacques;ITA;76.0;12:15;6.0;13.0;MUFFAT-JEANDET Victor;FRA;2:01.83;2020_2021;;;;;;;1;3.0;1:00.34;ZAGREB;CRO;40.0;60.0;0.0
Giant Slalom;2022-12-19;1868;1420;;448;Pozar Matjaz;SLO;56.0;10:00;;35.0;STEEN OLSEN Alexander;NOR;;2022_2023;2001-08-18;21.0;Male;Rossignol;Rossignol;;1;19.0;1:23.50;ALTA BADIA;ITA;;12.0;4228.0
Slalom;2021-01-26;958;744;;214;Davidson Johnny;NOR;62.0;17:45;;13.0;MATT Michael;AUT;;2020_2021;1993-05-13;29.0;Male;Augment;;Leki;1;65.0;;SCHLADMING;AUT;;;3879.0
Super G;2021-01-30;1308;770;2180.0;538;Scheiber Florian;AUT;39.0;11:00;12.0;7.0;BRIGNONE Federica;ITA;1:17.03;2020_2021;1990-07-14;32.0;Female;Rossignol;Rossignol;;1;12.0;1:17.03;GARMISCH-PARTENKIRCHEN;GER;22.0;22.0;4069.0
Giant Slalom;2020-12-07;2070;1730;;340;Garner Ian;USA;45.0;10:00;27.0;36.0;TONETTI Riccardo;ITA;2:11.11;2020_2021;1989-05-14;33.0;Male;Salomon;Salomon;Leki;1;27.0;1:05.78;SANTA CATERINA;ITA;4.0;4.0;2205.0
Slalom;2021-03-14;1038;838;;200;Mithassel Christian;NOR;63.0;12:30;;;RAUCHFUSS Julian;GER;;2020_2021;1994-09-02;28.0;Male;Rossignol;Rossignol;;2;28.0;;KRANJSKA GORA;SLO;;3.0;1700.0
Slalom;2021-01-30;1165;985;;180;Suman Marko;CRO;58.0;12:30;;;HONG Dongkwan;KOR;;2020_2021;;;;;;;2;47.0;;CHAMONIX;FRA;;;0.0
Giant Slalom;2021-02-28;2060;1610;;450;Masdal Ola;SWE;52.0;11:00;7.0;1.0;MEILLARD Loic;SUI;2:27.09;2020_2021;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;1;2.0;1:11.87;BANSKO;BUL;36.0;80.0;4979.0
Slalom;2021-01-12;1160;960;;200;Thoma Christian;SWE;69.0;20:45;;;SPORER Marie- Therese;AUT;;2020_2021;1996-06-28;26.0;Female;Atomic;Atomic;;2;56.0;;FLACHAU;AUT;;;3815.0
Giant Slalom;2021-12-28;1008;680;;328;Simoncelli Daniele;ITA;42.0;10:00;;54.0;FLECKENSTEIN Stefanie;CAN;;2021_2022;1997-09-06;25.0;Female;Rossignol;Rossignol;Leki;1;53.0;1:07.48;LIENZ;AUT;;;712.0
Slalom;2021-11-21;438;258;;180;Huttegger Gerhard;AUT;65.0;14:30;24.0;4.0;MOLTZAN Paula;USA;1:48.48;2021_2022;1994-04-07;28.0;Female;Rossignol;Rossignol;;2;22.0;54.39;LEVI;FIN;7.0;9.0;2154.0
Giant Slalom;2021-10-23;3040;2670;;370;Day Mike;USA;48.0;10:00;;54.0;LUCZAK Magdalena;POL;;2021_2022;2001-12-31;21.0;Female;Atomic;Atomic;;1;34.0;1:05.82;SOELDEN;AUT;;;167.0
Slalom;2022-03-09;1160;960;;200;Ominger Andreas;GER;68.0;17:45;24.0;25.0;SALARICH Joaquim;ESP;1:55.06;2021_2022;1994-01-02;29.0;Male;Rossignol;Rossignol;;1;11.0;54.97;FLACHAU;AUT;7.0;24.0;0.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;;60.0;ROENNGREN Mattias;SWE;;2020_2021;1993-11-22;29.0;Male;Head;Head;Leki;1;54.0;1:08.93;SANTA CATERINA;ITA;;;553.0
Slalom;2022-12-11;2053;1850;;203;Momo Corrado;ESP;61.0;09:30;18.0;31.0;MUFFAT-JEANDET Victor;FRA;1:40.53;2022_2023;;;;;;;1;24.0;51.83;VAL D'ISERE;FRA;13.0;7.0;0.0
Giant Slalom;2023-03-10;736;396;;340;Hervas Alejo;SUI;45.0;13:00;;;TVIBERG Maria Therese;NOR;;2022_2023;1994-04-07;28.0;Female;Head;Head;;2;38.0;;ARE;SWE;;;1846.0
Giant Slalom;2022-12-10;2300;1850;;450;Krug Helmut;SUI;47.0;09:30;;58.0;KASTLUNGER Tobias;ITA;;2022_2023;1999-09-09;23.0;Male;Head;Head;Leki;1;37.0;1:05.91;VAL D'ISERE;FRA;;;2600.0
Giant Slalom;2022-03-12;1278;846;;432;Steiner Günther;AUT;52.0;12:30;;;MCLAUGHLIN Brian;USA;;2021_2022;1993-06-24;29.0;Male;VOELKL;Dalbello;;2;59.0;;KRANJSKA GORA;SLO;;;1151.0
Super G;2021-02-01;1308;770;2180.0;538;Platzer Roland;SUI;39.0;10:50;;42.0;PLESHKOVA Julia;RUS;;2020_2021;1997-05-17;25.0;Female;Head;Head;Leki;1;0.0;;GARMISCH-PARTENKIRCHEN;GER;;;18.0
Slalom;2022-01-09;1513;1302;;211;Kroisleitner Martin;AUT;68.0;13:30;;;KATO Seigo;JPN;;2021_2022;;;;;;;2;54.0;;ADELBODEN;SUI;;;0.0
Slalom;2021-01-03;988;768;;220;Huttegger Gerhard;AUT;70.0;16:00;16.0;29.0;CURTONI Irene;ITA;2:01.91;2020_2021;;;;;;;2;23.0;1:01.82;ZAGREB;CRO;15.0;8.0;0.0
Super G;2023-03-05;3058;2484;1860.0;574;Kucera John;CAN;37.0;10:00;19.0;17.0;CASSE Mattia;ITA;1:08.00;2022_2023;1990-02-19;33.0;Male;Rossignol;Rossignol;Leki;1;19.0;1:08.00;ASPEN;USA;12.0;12.0;2600.0
Super G;2021-12-02;3330;2730;1863.0;600;Anderson Pete;NOR;38.0;11:45;32.0;29.0;FERSTL Josef;GER;1:11.37;2021_2022;1988-12-29;34.0;Male;Head;Head;Leki;1;32.0;1:11.37;BEAVER CREEK;USA;;;1867.0
Slalom;2021-01-12;1160;960;;200;Harzl Georg;GER;68.0;18:00;8.0;14.0;ST-GERMAIN Laurence;CAN;1:50.70;2020_2021;1994-05-30;28.0;Female;Rossignol;Rossignol;;1;9.0;55.69;FLACHAU;AUT;32.0;29.0;437.0
Giant Slalom;2021-01-26;1580;1206;;374;Martin Jean-noel;FRA;45.0;10:30;;63.0;TKACHENKO Ekaterina;RUS;;2020_2021;;;;;;;1;56.0;;KRONPLATZ;ITA;;;0.0
Giant Slalom;2023-03-12;1278;843;;435;Epstein Poul;SVK;53.0;09:30;;55.0;HOFER Alex;ITA;;2022_2023;1994-09-15;28.0;Male;Fischer;Fischer;;1;33.0;1:16.70;KRANJSKA GORA;SLO;;;2600.0
Slalom;2021-01-17;1160;960;;200;Joris Matteo;SUI;69.0;10:30;;56.0;KOYAMA Yohei;JPN;;2020_2021;;;;;;;1;28.0;55.27;FLACHAU;AUT;;3.0;0.0
Giant Slalom;2022-01-08;1230;849;;381;Guillot-patrique Pierre;FRA;45.0;09:30;10.0;6.0;GISIN Michelle;SUI;2:18.08;2021_2022;1993-12-05;29.0;Female;Salomon;Salomon;;1;6.0;1:08.10;KRANJSKA GORA;SLO;26.0;40.0;4758.0
Giant Slalom;2022-12-19;1868;1420;;448;Garner Ian;USA;55.0;13:30;4.0;28.0;MEILLARD Loic;SUI;2:39.59;2022_2023;1996-10-29;26.0;Male;Rossignol;Rossignol;Leki;2;22.0;1:18.45;ALTA BADIA;ITA;50.0;9.0;5705.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;48.0;TORSTI Samu;FIN;;2020_2021;1991-09-05;31.0;Male;Head;Head;Leki;1;84.0;1:06.60;SOELDEN;AUT;;;1.0
Giant Slalom;2023-03-11;1278;843;;435;Glebov Artem;NOR;51.0;09:30;1.0;3.0;ODERMATT Marco;SUI;2:16.65;2022_2023;1997-10-08;25.0;Male;Stoeckli;Salomon;Leki;1;1.0;1:07.60;KRANJSKA GORA;SLO;100.0;100.0;5705.0
Slalom;2021-11-21;438;258;;180;Lackie Jeff;USA;66.0;11:30;;36.0;ROSSETTI Marta;ITA;;2021_2022;1999-03-25;23.0;Female;Head;Head;;1;60.0;;LEVI;FIN;;;3799.0
Giant Slalom;2022-03-06;1920;1530;;390;Miniotti Pierre;SWE;48.0;10:00;18.0;21.0;STJERNESUND Thea Louise;NOR;2:05.94;2021_2022;1996-11-24;26.0;Female;Rossignol;Rossignol;;1;20.0;1:03.69;LENZERHEIDE;SUI;13.0;11.0;1523.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;;57.0;SORIO Daniele;ITA;;2020_2021;;;;;;;1;41.0;1:07.91;SANTA CATERINA;ITA;;;0.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;RAPOSO Charlie;GBR;;2021_2022;1996-01-15;27.0;Male;;;;2;93.0;;SOELDEN;AUT;;;279.0
Super G;2021-02-06;1308;770;2180.0;538;Ghidoni Alberto;ITA;37.0;11:30;;46.0;RAFFORT Nicolas;FRA;;2020_2021;1991-06-27;31.0;Male;Salomon;Salomon;Leki;1;0.0;;GARMISCH-PARTENKIRCHEN;GER;;;4197.0
Super G;2022-12-29;1959;1245;2414.0;714;Anderson Peter;NOR;46.0;11:30;22.0;32.0;FRANZONI Giovanni;ITA;1:32.65;2022_2023;2001-03-30;21.0;Male;Rossignol;Rossignol;;1;22.0;1:32.65;BORMIO;ITA;9.0;9.0;2600.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;24.0;11.0;GISIN Michelle;SUI;2:32.73;2022_2023;1993-12-05;29.0;Female;Salomon;Salomon;;1;9.0;1:13.52;SESTRIERE;ITA;7.0;29.0;4705.0
Slalom;2023-01-08;1513;1302;;211;Deldio Simone;ITA;68.0;13:30;;;KRISTOFFERSEN Henrik;NOR;;2022_2023;1994-07-02;28.0;Male;Van Deer;;;2;31.0;;ADELBODEN;SUI;;;4228.0
Slalom;2023-01-08;1513;1302;;211;Deldio Simone;ITA;68.0;13:30;;;STEEN OLSEN Alexander;NOR;;2022_2023;2001-08-18;21.0;Male;Rossignol;Rossignol;;2;50.0;;ADELBODEN;SUI;;;4228.0
Giant Slalom;2020-12-07;2070;1730;;340;Rottensteiner Michael;NOR;46.0;13:00;;;KRIECHMAYR Vincent;AUT;;2020_2021;1991-10-01;31.0;Male;Head;Head;;2;38.0;;SANTA CATERINA;ITA;;;3879.0
Slalom;2023-01-22;1004;811;;193;Perrin Frédéric;FRA;63.0;10:30;20.0;18.0;JAKOBSEN Kristoffer;SWE;1:46.48;2022_2023;1994-09-09;28.0;Male;Fischer;Fischer;Leki;1;24.0;54.22;KITZBUEHEL;AUT;11.0;7.0;214.0
Slalom;2022-01-25;958;744;;214;Thoule Nicolas;FRA;68.0;17:45;;41.0;TREMMEL Anton;GER;;2021_2022;1994-11-26;28.0;Male;Nordica;Nordica;;1;47.0;;SCHLADMING;AUT;;;1867.0
Super G;2021-12-17;2010;1410;2415.0;600;Evers Andreas;GER;42.0;11:45;1.0;13.0;KILDE Aleksander Aamodt;NOR;1:25.91;2021_2022;1992-09-21;30.0;Male;Atomic;Atomic;Leki;1;1.0;1:25.91;VAL GARDENA-GROEDEN;ITA;100.0;100.0;3068.0
Super G;2022-01-16;1875;1380;1900.0;495;Viale Marco;FRA;36.0;11:30;43.0;39.0;MANGAN Tricia;USA;1:13.73;2021_2022;1997-03-07;26.0;Female;Head;Head;;1;43.0;1:13.73;ZAUCHENSEE;AUT;;;2154.0
Slalom;2022-03-09;1160;960;;200;Ominger Andreas;GER;68.0;17:45;21.0;12.0;ZENHAEUSERN Ramon;SUI;1:54.40;2021_2022;1992-05-04;30.0;Male;Rossignol;Rossignol;Leki;1;20.0;55.64;FLACHAU;AUT;10.0;11.0;5329.0
Giant Slalom;2021-02-27;2060;1610;;450;Valsecchi Renzo;SUI;52.0;14:00;26.0;6.0;ROENNGREN Mattias;SWE;2:23.96;2020_2021;1993-11-22;29.0;Male;Head;Head;Leki;2;8.0;1:12.08;BANSKO;BUL;5.0;32.0;553.0
Slalom;2023-01-28;944;757;;187;Joergen Nordlund;SWE;59.0;09:30;;45.0;SUNSHINE Ava;USA;;2022_2023;2002-06-20;20.0;Female;Atomic;Atomic;;1;46.0;52.14;SPINDLERUV MLYN;CZE;;;2268.0
Slalom;2022-12-11;2053;1850;;203;Momo Corrado;ESP;61.0;09:30;;55.0;JORDAN Asher;CAN;;2022_2023;1999-11-23;23.0;Male;Atomic;Atomic;;1;63.0;;VAL D'ISERE;FRA;;;1184.0
Super G;2023-01-15;1955;1355;1875.0;600;Senigagliesi Alberto;FIS;39.0;11:15;17.0;25.0;HAASER Ricarda;AUT;1:19.22;2022_2023;1993-09-10;29.0;Female;Fischer;Fischer;;1;17.0;1:19.22;ST. ANTON;AUT;14.0;14.0;4985.0
Giant Slalom;2023-03-11;1278;843;;435;Velez Romain;FRA;51.0;12:30;24.0;11.0;LEITINGER Roland;AUT;2:20.34;2022_2023;1991-05-13;31.0;Male;Salomon;Salomon;;2;26.0;1:09.96;KRANJSKA GORA;SLO;7.0;5.0;5682.0
Slalom;2021-11-20;438;258;;180;Brill Christian;SUI;66.0;14:30;2.0;29.0;SHIFFRIN Mikaela;USA;1:46.50;2021_2022;1995-03-13;27.0;Female;Atomic;Atomic;Leki;2;3.0;54.24;LEVI;FIN;80.0;60.0;2154.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;;;BORSOTTI Giovanni;ITA;;2020_2021;1990-12-18;32.0;Male;Rossignol;Rossignol;Leki;2;141.0;;SOELDEN;AUT;;;2205.0
Super G;2021-12-12;2490;2040;1791.0;450;Plankensteiner Hans Joerg;CAN;31.0;11:10;9.0;20.0;MARSAGLIA Francesca;ITA;58.65;2021_2022;1990-01-27;33.0;Female;Salomon;Salomon;;1;9.0;58.65;ST. MORITZ;SUI;29.0;29.0;3799.0
Giant Slalom;2022-03-13;1278;846;;432;Husby Anders;NOR;51.0;12:30;28.0;1.0;DRUKAROV Andrej;LTU;2:21.78;2021_2022;1999-05-10;23.0;Male;Rossignol;Rossignol;;2;27.0;1:07.27;KRANJSKA GORA;SLO;3.0;4.0;0.0
Giant Slalom;2022-10-23;3040;2670;;370;Carca Max;ITA;47.0;13:00;8.0;22.0;SCHMID Alexander;GER;2:06.09;2022_2023;1994-06-09;28.0;Male;Head;Head;Leki;2;11.0;1:04.88;SOELDEN;AUT;32.0;24.0;1655.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;52.0;DRUKAROV Andrej;LTU;;2021_2022;1999-05-10;23.0;Male;Rossignol;Rossignol;;1;118.0;1:07.84;SOELDEN;AUT;;;0.0
Giant Slalom;2021-12-22;2175;1815;;360;De Florian Paolo;ITA;46.0;13:00;8.0;20.0;MOWINCKEL Ragnhild;NOR;2:14.67;2021_2022;1992-09-12;30.0;Female;Head;Head;;2;9.0;1:06.67;COURCHEVEL;FRA;32.0;29.0;1523.0
Giant Slalom;2023-01-25;1148;758;;390;Page Kevin;FRA;47.0;20:45;;;HOFER Alex;ITA;;2022_2023;1994-09-15;28.0;Male;Fischer;Fischer;;2;60.0;;SCHLADMING;AUT;;;2600.0
Slalom;2023-03-11;597;396;;201;Gemza Matej;SVK;66.0;13:30;;;JELINKOVA Adriana;CZE;;2022_2023;1995-04-10;27.0;Female;Voelkl;Atomic;;2;35.0;;ARE;SWE;;;567.0
Slalom;2023-01-15;1475;1281;;194;Glasse-davies Tristan;GBR;65.0;10:15;;58.0;KASTLUNGER Tobias;ITA;;2022_2023;1999-09-09;23.0;Male;Head;Head;Leki;1;60.0;;WENGEN;SUI;;;2600.0
Slalom;2021-01-10;1513;1302;;211;Omminger Andreas;GER;67.0;10:30;;64.0;KASTLUNGER Tobias;ITA;;2020_2021;1999-09-09;23.0;Male;Head;Head;Leki;1;44.0;56.31;ADELBODEN;SUI;;;2205.0
Giant Slalom;2023-01-24;1580;1206;;374;Day Mike;USA;45.0;10:30;;42.0;PLATINO Elisa;ITA;;2022_2023;1999-01-08;24.0;Female;Head;Head;;1;32.0;1:02.57;KRONPLATZ;ITA;;;3911.0
Giant Slalom;2022-01-08;1230;849;;381;Guillot-patrique Pierre;FRA;45.0;09:30;17.0;16.0;HOLDENER Wendy;SUI;2:18.57;2021_2022;1993-05-12;29.0;Female;Head;Head;Leki;1;11.0;1:08.55;KRANJSKA GORA;SLO;14.0;24.0;4758.0
Slalom;2022-02-26;942;735;;207;Schwarzacher Paul;AUT;71.0;12:30;25.0;3.0;DEL CAMPO Juan;ESP;1:50.65;2021_2022;1994-06-28;28.0;Male;Atomic;Atomic;;2;25.0;55.17;GARMISCH-PARTENKIRCHEN;GER;6.0;6.0;0.0
Slalom;2023-01-10;1170;960;;210;Haarala Janne;NOR;68.0;20:45;;20.0;TOMSIC Nika;SLO;;2022_2023;;;;;;;2;56.0;;FLACHAU;AUT;;;0.0
Slalom;2023-03-11;597;396;;201;Gemza Matej;SVK;66.0;13:30;23.0;14.0;ANDO Asa;JPN;1:45.70;2022_2023;1996-04-24;26.0;Female;Atomic;Atomic;;2;25.0;52.11;ARE;SWE;8.0;6.0;11.0
Giant Slalom;2022-12-19;1868;1420;;448;Pozar Matjaz;SLO;56.0;10:00;18.0;20.0;FEURSTEIN Patrick;AUT;2:41.66;2022_2023;1996-12-01;26.0;Male;Head;Head;Leki;1;24.0;1:24.31;ALTA BADIA;ITA;13.0;7.0;5682.0
Giant Slalom;2020-10-18;3040;2670;;370;Perrin Frédéric;FRA;49.0;10:00;;56.0;NEF Tanguy;SUI;;2020_2021;1996-11-19;26.0;Male;Head;Head;;1;53.0;1:14.33;SOELDEN;AUT;;;4979.0
Giant Slalom;2021-12-21;2175;1815;;360;Orlowski Marcin;POL;47.0;13:00;;;EGLOFF Selina;SUI;;2021_2022;;;;;;;2;44.0;;COURCHEVEL;FRA;;;0.0
Slalom;2021-01-17;1160;960;;200;Brun Loïc;FRA;69.0;13:45;;;NORDBOTTEN Jonathan;NOR;;2020_2021;;;;;;;2;41.0;;FLACHAU;AUT;;;0.0
